#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
52,-1.09%,78,-5.04%,33,-25.86%,85,65,,-5.65%,-2.93%
247,-1.18%,69,-5.45%,32,-23.14%,119,73,,4.83%,9.10%
73,-1.56%,48,-3.26%,80,-21.41%,145,91,,-4.81%,-10.57%
110,-0.87%,100,-3.31%,77,-25.27%,98,92,,-6.22%,-35.43%
605,-0.58%,142,-3.31%,78,-26.82%,63,94,,-0.93%,-3.73%
77,-0.67%,129,-1.63%,207,-29.31%,33,123,,-2.72%,
96,-0.19%,285,-3.05%,91,-30.05%,23,133,,-4.27%,
94,-3.89%,5,-7.62%,14,-9.58%,403,141,,5.76%,
613,-0.16%,303,-3.20%,84,-28.65%,40,142,,29.22%,
119,-1.20%,64,-5.86%,25,-11.18%,361,150,,2.80%,
374,-1.54%,50,-2.15%,156,-15.64%,250,152,,,-8.71%
607,-0.56%,146,-2.47%,130,-18.80%,182,153,,,
577,-0.21%,272,-4.11%,50,-20.77%,155,159,,,
430,-0.10%,359,-4.63%,38,-25.72%,87,161,,Temp,
106,-0.41%,186,-1.39%,250,-27.42%,54,163,,25.26%,32.79%
616,-0.26%,239,-1.71%,197,-26.46%,73,170,,6.26%,13.21%
67,-0.34%,205,-1.13%,293,-29.67%,28,175,,3.02%,10.78%
99,0.03%,476,-3.95%,54,-37.12%,1,177,,-4.21%,-7.14%
62,-0.49%,168,-1.10%,299,-25.87%,84,184,,-5.94%,-3.40%
408,-0.07%,388,-2.15%,158,-33.06%,7,184,,-7.53%,
416,-0.77%,111,-0.75%,356,-24.94%,104,190,,-6.95%,
390,-0.29%,219,-1.33%,261,-25.56%,92,191,,-7.76%,
232,-0.16%,306,-2.36%,139,-22.57%,128,191,,2.92%,
125,-1.60%,43,-3.25%,81,-7.71%,451,192,,-2.54%,
418,-0.13%,325,-1.42%,242,-31.43%,14,194,,,9.25%
602,0.01%,461,-2.42%,133,-34.23%,2,199,,,
719,-0.52%,158,-3.53%,68,-10.23%,387,204,,,
884,-0.26%,244,-20.98%,1,-10.83%,372,206,,,
622,-0.29%,223,-1.49%,233,-18.51%,188,215,,,
564,-0.58%,139,-1.96%,176,-11.94%,336,217,,,
395,-0.03%,414,-2.25%,149,-25.26%,99,221,,,
948,-0.36%,200,-1.56%,219,-15.76%,249,223,,,
31,-2.15%,23,-3.64%,65,-1.96%,586,225,,,
316,-0.42%,184,-1.26%,277,-17.52%,216,226,,,
582,-0.73%,117,-3.22%,83,-6.68%,480,227,,,
88,-1.35%,57,0.28%,509,-22.58%,127,231,,,
296,-1.77%,34,-0.42%,404,-14.70%,268,235,,,
79,-0.43%,180,0.29%,511,-30.61%,18,236,,,
614,0.02%,466,-1.86%,185,-26.68%,67,239,,,
465,-1.57%,46,-0.55%,385,-13.68%,290,240,,,
253,-2.96%,14,-0.21%,435,-14.51%,274,241,,,
872,-0.19%,282,-2.11%,161,-14.27%,282,242,,,
252,-0.15%,317,-1.31%,266,-21.10%,149,244,,,
388,-0.12%,332,-0.46%,398,-32.04%,8,246,,,
716,-0.42%,183,-3.39%,72,-6.61%,483,246,,,
609,-0.12%,339,-0.72%,358,-28.06%,43,247,,,
260,0.01%,459,-4.32%,46,-16.28%,237,247,,,
118,0.10%,551,-4.13%,49,-21.47%,143,248,,,
596,-0.44%,178,0.31%,516,-27.58%,51,248,,,
588,-0.94%,92,-3.58%,67,-1.89%,589,249,,,
385,-0.18%,295,-0.49%,392,-26.90%,62,250,,,
423,-0.19%,283,0.00%,464,-33.74%,5,251,,,
