#,Temp,Pressure,Backflow
884,-0.26%,-20.98%,-10.83%
157,-5.71%,-13.78%,211.04%
512,-1.75%,-13.41%,57.94%
998,0.07%,-12.13%,35.03%
477,0.82%,-11.23%,0.35%
866,-1.09%,-9.81%,23.56%
494,0.62%,-9.44%,9.52%
806,0.01%,-9.41%,13.84%
309,-1.84%,-9.35%,34.47%
160,-4.10%,-8.78%,180.13%
154,4.27%,-8.62%,267.54%
184,0.41%,-8.46%,16.84%
334,0.30%,-8.16%,-6.48%
94,-3.89%,-7.62%,-9.58%
289,-0.09%,-7.27%,6.48%
189,-0.11%,-7.08%,17.65%
170,-0.97%,-6.99%,101.01%
585,0.65%,-6.65%,-0.07%
164,-3.01%,-6.46%,107.27%
128,-0.45%,-6.23%,8.58%
681,0.68%,-6.23%,113.23%
787,-0.03%,-6.11%,-2.88%
679,0.63%,-5.97%,55.51%
652,-2.21%,-5.87%,39.69%
119,-1.20%,-5.86%,-11.18%
642,-0.15%,-5.79%,25.07%
554,-0.48%,-5.75%,-3.39%
152,0.66%,-5.75%,195.92%
141,-1.04%,-5.62%,58.92%
367,-1.00%,-5.60%,19.78%
218,0.87%,-5.45%,-15.96%
247,-1.18%,-5.45%,-23.14%
52,-1.09%,-5.04%,-25.86%
739,-0.19%,-5.03%,9.11%
490,-1.72%,-4.89%,31.73%
510,-0.47%,-4.79%,28.65%
921,-0.10%,-4.72%,-1.68%
430,-0.10%,-4.63%,-25.72%
150,-2.33%,-4.59%,161.56%
143,-1.10%,-4.56%,84.41%
678,1.79%,-4.52%,53.06%
800,0.12%,-4.47%,4.44%
805,0.44%,-4.46%,11.50%
312,-0.99%,-4.40%,21.11%
169,-3.42%,-4.38%,96.34%
260,0.01%,-4.32%,-16.28%
456,0.05%,-4.28%,9.70%
497,0.84%,-4.24%,32.91%
118,0.10%,-4.13%,-21.47%
577,-0.21%,-4.11%,-20.77%
507,-1.19%,-4.09%,44.01%
673,-0.24%,-4.06%,26.39%
488,-1.33%,-3.95%,29.80%
99,0.03%,-3.95%,-37.12%
166,1.28%,-3.91%,124.64%
750,-0.03%,-3.83%,-4.62%
682,-3.87%,-3.83%,146.90%
689,-0.36%,-3.79%,29.15%
30,-0.35%,-3.76%,-5.58%
804,-0.16%,-3.74%,8.98%
201,0.45%,-3.72%,-11.39%
112,1.19%,-3.70%,-20.89%
188,0.64%,-3.69%,18.69%
484,-0.48%,-3.65%,31.87%
31,-2.15%,-3.64%,-1.96%
688,-0.30%,-3.62%,27.89%
588,-0.94%,-3.58%,-1.89%
719,-0.52%,-3.53%,-10.23%
482,-0.03%,-3.44%,18.41%
359,-0.67%,-3.43%,7.03%
336,-0.42%,-3.39%,5.36%
716,-0.42%,-3.39%,-6.61%
592,0.38%,-3.37%,-21.90%
656,-1.04%,-3.36%,25.45%
651,1.50%,-3.33%,48.10%
728,-0.11%,-3.32%,7.75%
110,-0.87%,-3.31%,-25.27%
605,-0.58%,-3.31%,-26.82%
301,0.05%,-3.31%,17.67%
73,-1.56%,-3.26%,-21.41%
125,-1.60%,-3.25%,-7.71%
519,-0.01%,-3.24%,-11.19%
582,-0.73%,-3.22%,-6.68%
613,-0.16%,-3.20%,-28.65%
121,0.99%,-3.20%,-3.65%
509,1.55%,-3.18%,26.70%
257,-0.09%,-3.18%,24.54%
552,-0.34%,-3.14%,-1.94%
193,-0.01%,-3.11%,-7.27%
500,-1.54%,-3.08%,62.52%
96,-0.19%,-3.05%,-30.05%
450,0.31%,-3.04%,-6.01%
70,0.22%,-3.04%,-28.60%
343,0.00%,-3.00%,1.42%
849,0.14%,-2.97%,-11.32%
865,0.47%,-2.93%,1.17%
300,0.84%,-2.92%,7.02%
910,0.63%,-2.92%,-6.50%
887,-0.01%,-2.91%,24.02%
830,0.12%,-2.88%,-5.47%
449,-0.16%,-2.83%,-7.29%
818,-0.09%,-2.81%,-9.70%
298,-0.63%,-2.80%,-0.45%
448,0.97%,-2.80%,-5.44%
362,-0.06%,-2.76%,0.23%
670,-1.30%,-2.74%,49.41%
120,-0.02%,-2.74%,-2.88%
463,-1.98%,-2.72%,98.40%
366,0.51%,-2.71%,9.12%
499,1.59%,-2.70%,46.50%
858,0.05%,-2.70%,-12.08%
914,0.06%,-2.68%,-3.72%
699,-0.81%,-2.66%,16.76%
775,-0.17%,-2.65%,-9.35%
459,-0.52%,-2.65%,33.16%
89,0.44%,-2.64%,-14.23%
979,0.04%,-2.62%,-14.69%
580,0.81%,-2.62%,-20.77%
714,0.06%,-2.60%,-4.52%
995,1.49%,-2.57%,5.08%
727,-0.67%,-2.57%,4.46%
506,-0.28%,-2.56%,41.70%
794,0.59%,-2.56%,2.42%
666,1.49%,-2.56%,33.10%
990,-0.03%,-2.55%,-5.59%
945,0.54%,-2.53%,-20.70%
411,1.30%,-2.51%,-29.21%
647,-1.96%,-2.50%,33.93%
846,0.34%,-2.48%,-11.36%
607,-0.56%,-2.47%,-18.80%
792,0.37%,-2.46%,-7.68%
442,0.13%,-2.44%,-15.62%
602,0.01%,-2.42%,-34.23%
655,0.07%,-2.42%,22.32%
637,0.29%,-2.42%,-9.80%
356,-0.26%,-2.40%,17.02%
837,0.49%,-2.39%,-0.96%
288,0.45%,-2.37%,0.10%
232,-0.16%,-2.36%,-22.57%
695,0.85%,-2.36%,7.88%
302,-0.31%,-2.35%,35.87%
982,0.18%,-2.33%,-5.75%
206,0.49%,-2.32%,-12.40%
224,0.30%,-2.30%,-5.61%
886,-0.37%,-2.28%,17.12%
851,-0.02%,-2.26%,-8.91%
136,-0.75%,-2.26%,24.80%
546,-0.12%,-2.26%,-10.68%
395,-0.03%,-2.25%,-25.26%
17,0.65%,-2.24%,-1.93%
828,0.31%,-2.23%,-13.91%
992,-0.07%,-2.21%,-5.26%
841,-0.12%,-2.19%,-13.91%
268,-0.54%,-2.19%,19.76%
287,0.52%,-2.15%,-7.73%
374,-1.54%,-2.15%,-15.64%
708,0.45%,-2.15%,-11.13%
408,-0.07%,-2.15%,-33.06%
470,-0.27%,-2.14%,20.95%
885,0.56%,-2.12%,20.74%
872,-0.19%,-2.11%,-14.27%
178,-0.24%,-2.11%,0.78%
38,-0.27%,-2.08%,-5.25%
586,-1.06%,-2.07%,4.50%
454,0.56%,-2.06%,4.13%
712,0.05%,-2.05%,1.32%
677,0.65%,-2.04%,54.31%
640,-0.06%,-2.03%,11.17%
341,0.20%,-2.02%,-1.38%
824,0.19%,-2.02%,-14.06%
551,0.33%,-2.01%,-7.61%
861,0.12%,-2.00%,-16.11%
904,0.00%,-1.98%,8.65%
376,0.30%,-1.98%,-4.35%
720,-0.18%,-1.96%,-0.35%
564,-0.58%,-1.96%,-11.94%
730,-0.07%,-1.96%,4.28%
591,-0.09%,-1.95%,-10.36%
111,1.37%,-1.95%,-18.02%
532,0.25%,-1.94%,-8.92%
371,-0.36%,-1.92%,28.64%
819,-0.03%,-1.91%,-14.44%
324,-0.12%,-1.87%,8.47%
323,-0.79%,-1.87%,-6.15%
614,0.02%,-1.86%,-26.68%
944,0.41%,-1.85%,-21.91%
547,0.03%,-1.80%,-7.85%
503,-2.99%,-1.78%,72.48%
191,0.29%,-1.77%,5.16%
196,0.21%,-1.77%,-12.28%
350,0.53%,-1.76%,9.44%
533,0.02%,-1.75%,-6.75%
693,-0.28%,-1.74%,12.21%
766,-0.26%,-1.74%,-6.65%
711,0.02%,-1.72%,-1.48%
139,-2.89%,-1.71%,48.40%
616,-0.26%,-1.71%,-26.46%
292,0.93%,-1.71%,10.06%
597,0.04%,-1.70%,-23.03%
977,0.23%,-1.70%,-14.14%
524,-0.21%,-1.69%,-1.48%
466,-0.54%,-1.68%,45.39%
264,-0.25%,-1.68%,15.80%
907,-0.20%,-1.68%,4.66%
940,0.21%,-1.67%,-12.49%
398,0.21%,-1.66%,-26.06%
77,-0.67%,-1.63%,-29.31%
756,-0.51%,-1.63%,3.82%
321,0.55%,-1.63%,-2.71%
369,0.38%,-1.62%,6.29%
129,0.41%,-1.62%,26.41%
406,0.37%,-1.60%,-28.83%
753,0.01%,-1.59%,-8.82%
771,0.31%,-1.59%,-12.43%
683,-0.35%,-1.59%,191.48%
462,-2.06%,-1.58%,64.63%
573,0.72%,-1.58%,-22.51%
724,0.33%,-1.57%,-10.52%
948,-0.36%,-1.56%,-15.76%
107,0.25%,-1.56%,-26.11%
769,0.17%,-1.56%,-15.21%
692,-0.25%,-1.55%,7.10%
68,0.85%,-1.55%,-29.16%
798,-0.03%,-1.55%,12.23%
226,-0.95%,-1.54%,3.41%
707,0.56%,-1.53%,-10.19%
438,1.03%,-1.53%,-20.90%
751,-0.19%,-1.52%,-4.92%
133,0.01%,-1.52%,22.02%
732,-0.05%,-1.52%,-7.25%
576,0.54%,-1.51%,-23.10%
645,2.35%,-1.50%,18.53%
622,-0.29%,-1.49%,-18.51%
583,0.80%,-1.47%,0.58%
710,0.05%,-1.47%,6.84%
911,-0.13%,-1.46%,-3.17%
530,-0.52%,-1.46%,-3.44%
12,1.03%,-1.46%,-2.39%
446,1.02%,-1.44%,-12.32%
66,0.65%,-1.44%,-23.58%
973,-0.08%,-1.42%,-10.71%
418,-0.13%,-1.42%,-31.43%
701,0.53%,-1.42%,-0.22%
535,-0.15%,-1.41%,-0.39%
721,0.09%,-1.41%,-3.75%
529,0.47%,-1.41%,-11.31%
282,0.02%,-1.40%,26.43%
882,0.30%,-1.39%,-10.58%
659,-0.89%,-1.39%,15.84%
106,-0.41%,-1.39%,-27.42%
780,0.01%,-1.38%,-10.29%
717,0.16%,-1.36%,-3.89%
270,0.33%,-1.35%,16.88%
57,0.50%,-1.35%,-26.15%
8,-0.62%,-1.34%,-0.79%
579,0.31%,-1.34%,-20.86%
715,-0.33%,-1.34%,-7.40%
793,0.47%,-1.34%,-3.40%
735,0.38%,-1.34%,-8.76%
559,0.36%,-1.33%,-22.22%
390,-0.29%,-1.33%,-25.56%
823,0.41%,-1.33%,-15.60%
702,0.10%,-1.32%,-3.00%
